"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1",""
"C2","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1",""
"C5","470uF 10V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1",""
"C6","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"CHANNEL1","Encoder 6","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"D1","SB560","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"D2","POWER GREEN","LED_THT:LED_D5.0mm","1",""
"D3","1N4734A 5.6V","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D5","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D6","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D7","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D8","D","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D9","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D10","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D11","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D12","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D13","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D14","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D15","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D16","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D17","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D18","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D19","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D20","D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D21","PANEL LED 1","LED_SMD:LED_1206_3216Metric","1",""
"D22","PANEL LED 2","LED_SMD:LED_1206_3216Metric","1",""
"D23","PANEL LED 3","LED_SMD:LED_1206_3216Metric","1",""
"D24","PANEL LED 4","LED_SMD:LED_1206_3216Metric","1",""
"D25","PANEL LED 5","LED_SMD:LED_1206_3216Metric","1",""
"D26","PANEL LED 6","LED_SMD:LED_1206_3216Metric","1",""
"D27","PANEL LED 7","LED_SMD:LED_1206_3216Metric","1",""
"D28","PANEL LED 8","LED_SMD:LED_1206_3216Metric","1",""
"D29","PANEL LED 9","LED_SMD:LED_1206_3216Metric","1",""
"D30","PANEL LED 10","LED_SMD:LED_1206_3216Metric","1",""
"D31","PANEL LED 11","LED_SMD:LED_1206_3216Metric","1",""
"D32","PANEL LED 12","LED_SMD:LED_1206_3216Metric","1",""
"D33","PANEL LED 13","LED_SMD:LED_1206_3216Metric","1",""
"D34","PANEL LED 14","LED_SMD:LED_1206_3216Metric","1",""
"D35","PANEL LED 15","LED_SMD:LED_1206_3216Metric","1",""
